species,longitude,latitude,source
Cyathea cooperi,151.18853,-33.887149,University of Sydney
Cyathea cooperi,151.184203,-33.885985,University of Sydney
Cyathea cooperi,151.191216,-33.892356,University of Sydney
Cyathea cooperi,151.191197,-33.89232,University of Sydney
Cyathea cooperi,151.048609,-33.88267,University of Sydney
Cyathea cooperi,151.299265,-33.549308,University of Sydney
Cyathea cooperi,151.18651,-33.886168,University of Sydney
Cyathea cooperi,151.186598,-33.886323,University of Sydney
Cyathea cooperi,151.186652,-33.886313,University of Sydney
Cyathea cooperi,151.186571,-33.885362,University of Sydney
Cyathea cooperi,151.186508,-33.885411,University of Sydney
Cyathea cooperi,151.186384,-33.887018,University of Sydney
Cinnamomum camphora,151.184335,-33.888503,University of Sydney
Cinnamomum camphora,151.1844,-33.888338,University of Sydney
Cinnamomum camphora,151.184284,-33.888449,University of Sydney
Cinnamomum camphora,151.184243,-33.88833,University of Sydney
Cinnamomum camphora,151.184373,-33.888261,University of Sydney
Cinnamomum camphora,151.18435,-33.88818,University of Sydney
Cinnamomum camphora,151.18337,-33.885464,University of Sydney
Cinnamomum camphora,151.184994,-33.887216,University of Sydney
Cinnamomum camphora,151.183193,-33.885507,University of Sydney
Cinnamomum camphora,151.186001,-33.888059,University of Sydney
Cinnamomum camphora,151.186024,-33.888128,University of Sydney
Cinnamomum camphora,151.163537,-33.865751,University of Sydney
Cinnamomum camphora,151.163454,-33.864265,University of Sydney
Cinnamomum camphora,151.162383,-33.863867,University of Sydney
Cinnamomum camphora,151.162363,-33.86401,University of Sydney
Populus deltoides,151.188291,-33.886059,University of Sydney
Populus deltoides,151.184166,-33.885611,University of Sydney
Populus deltoides,151.183159,-33.88678,University of Sydney
Populus deltoides,151.183089,-33.886724,University of Sydney
Populus deltoides,151.182914,-33.88649,University of Sydney
Populus deltoides,151.181469,-33.885872,University of Sydney
Populus deltoides,151.191847,-33.890804,University of Sydney
Populus deltoides,151.191685,-33.890867,University of Sydney
Populus deltoides,151.190979,-33.891501,University of Sydney
Populus deltoides,151.190937,-33.891515,University of Sydney
Populus deltoides,151.190889,-33.891529,University of Sydney
Populus deltoides,151.190806,-33.891557,University of Sydney
Populus deltoides,150.658584,-34.03593,University of Sydney
Populus deltoides,150.658787,-34.035978,University of Sydney
Populus deltoides,150.658703,-34.035949,University of Sydney
Populus deltoides,150.658936,-34.035988,University of Sydney
Populus deltoides,150.659008,-34.035996,University of Sydney
Populus deltoides,150.659123,-34.036006,University of Sydney
Populus deltoides,150.659209,-34.03603,University of Sydney
Populus nigra 'Italica',151.18867,-33.88749,University of Sydney
Doryanthes excelsa,151.189789,-33.888984,University of Sydney
Doryanthes excelsa,151.190785,-33.890196,University of Sydney
Doryanthes excelsa,151.190983,-33.88493,University of Sydney
Doryanthes excelsa,151.18753,-33.88537,University of Sydney
Doryanthes excelsa,151.189253,-33.885044,University of Sydney
Doryanthes excelsa,151.190746,-33.88544,University of Sydney
Doryanthes excelsa,151.190671,-33.885168,University of Sydney
Doryanthes excelsa,151.185408,-33.885774,University of Sydney
Doryanthes excelsa,151.192256,-33.890666,University of Sydney
Doryanthes excelsa,151.191147,-33.889917,University of Sydney
Doryanthes excelsa,151.191056,-33.889981,University of Sydney
Doryanthes excelsa,151.193542,-33.889955,University of Sydney
Doryanthes excelsa,151.193232,-33.889075,University of Sydney
Doryanthes excelsa,151.191903,-33.890813,University of Sydney
Doryanthes excelsa,151.190835,-33.890309,University of Sydney
Doryanthes excelsa,151.189282,-33.889046,University of Sydney
Doryanthes excelsa,151.188773,-33.888428,University of Sydney
Doryanthes excelsa,151.188709,-33.88798,University of Sydney
Doryanthes excelsa,151.191382,-33.885801,University of Sydney
Doryanthes excelsa,151.188789,-33.888282,University of Sydney
Doryanthes excelsa,151.191657,-33.890872,University of Sydney
Doryanthes excelsa,151.18982,-33.888964,University of Sydney
Doryanthes excelsa,151.187282,-33.886095,University of Sydney
Doryanthes excelsa,151.187589,-33.884902,University of Sydney
Doryanthes excelsa,151.190534,-33.885469,University of Sydney
Doryanthes excelsa,151.193411,-33.888987,University of Sydney
Doryanthes excelsa,151.298786,-33.549379,University of Sydney
Doryanthes excelsa,151.299032,-33.549553,University of Sydney
Doryanthes excelsa,151.298778,-33.549325,University of Sydney
Doryanthes excelsa,151.298771,-33.549503,University of Sydney
Doryanthes excelsa,151.298933,-33.549376,University of Sydney
Doryanthes excelsa,151.298654,-33.549481,University of Sydney
Doryanthes excelsa,151.297925,-33.549269,University of Sydney
Stenocarpus sinuatus,151.189202,-33.88514,University of Sydney
Stenocarpus sinuatus,151.189745,-33.887531,University of Sydney
Stenocarpus sinuatus,151.189866,-33.887855,University of Sydney
Stenocarpus sinuatus,151.189603,-33.889032,University of Sydney
Stenocarpus sinuatus,151.189443,-33.889031,University of Sydney
Stenocarpus sinuatus,151.185444,-33.88702,University of Sydney
Stenocarpus sinuatus,151.189225,-33.885096,University of Sydney
Stenocarpus sinuatus,151.190444,-33.891102,University of Sydney
Stenocarpus sinuatus,151.190395,-33.891121,University of Sydney
Stenocarpus sinuatus,151.192399,-33.888896,University of Sydney
Stenocarpus sinuatus,151.19241,-33.888841,University of Sydney
Stenocarpus sinuatus,151.192471,-33.888853,University of Sydney
Stenocarpus sinuatus,151.192508,-33.888883,University of Sydney
Stenocarpus sinuatus,151.191225,-33.88987,University of Sydney
Stenocarpus sinuatus,151.191277,-33.889942,University of Sydney
Stenocarpus sinuatus,151.194459,-33.888447,University of Sydney
Stenocarpus sinuatus,151.049118,-33.882015,University of Sydney
Stenocarpus sinuatus,151.048713,-33.882499,University of Sydney
Stenocarpus sinuatus,151.048728,-33.882538,University of Sydney
Stenocarpus sinuatus,151.048494,-33.882804,University of Sydney
Stenocarpus sinuatus,151.048668,-33.880755,University of Sydney
Stenocarpus sinuatus,151.189718,-33.887523,University of Sydney
Stenocarpus sinuatus,151.189825,-33.888821,University of Sydney
Grevillea sp.,150.65543,-34.032169,University of Sydney
Banksia integrifolia,151.190167,-33.886535,University of Sydney
Banksia integrifolia,151.19023,-33.886545,University of Sydney
Banksia integrifolia,151.190225,-33.886485,University of Sydney
Banksia integrifolia,151.190185,-33.88644,University of Sydney
Banksia integrifolia,151.185809,-33.891689,University of Sydney
Banksia integrifolia,151.185696,-33.891669,University of Sydney
Banksia integrifolia,151.182854,-33.887876,University of Sydney
Banksia integrifolia,151.183487,-33.886985,University of Sydney
Banksia integrifolia,151.183418,-33.886997,University of Sydney
Banksia integrifolia,151.183505,-33.887048,University of Sydney
Banksia integrifolia,151.190185,-33.891157,University of Sydney
Banksia integrifolia,147.592578,-33.939274,University of Sydney
Banksia integrifolia,147.592571,-33.939379,University of Sydney
Banksia integrifolia,147.592569,-33.93942,University of Sydney
Banksia integrifolia,147.59256,-33.939565,University of Sydney
Banksia integrifolia,147.592555,-33.939637,University of Sydney
Banksia integrifolia,147.592544,-33.939816,University of Sydney
Banksia integrifolia,151.186401,-33.886183,University of Sydney
Banksia integrifolia,151.184394,-33.888881,University of Sydney
